key,uk,eng
hello,привіт,hello
world,світ,world
apology,вибачення,apology
account,рахунок,account
bargain,угода,bargain
department store,універмаг,department store
charity,благодійність,charity
parcel,посилка,parcel
branch,відділення,branch
advantage,перевага,advantage
phrase,фраза,phrase
purpose,мета,purpose
consequence,наслідок,consequence
condition,умова,condition
relatives,родичі,relatives
vehicle,транспортний засіб,vehicle
risk,ризик,risk
stall,кіоск,stall
attractions,пам'ятки,attractions
ferry,пором,ferry
lawn,газон,lawn
rake,граблі,rake
departure,відправлення,departure
disease,хвороба,disease
possibility,можливість,possibility
dock,пристань,dock
funeral,похорон,funeral
attempt,спроба,attempt
advantage,перевага,advantage
disadvantage,недолік,disadvantage
trust,довіра,trust
plot,сюжет,plot
sitcom,ситком,sitcom
bungalow,бунгало,bungalow
tuition,навчання,tuition
shift,зміна,shift
refund,відшкодування,refund
receipt,чек,receipt
jumper,светр,jumper
appearance,зовнішність,appearance
pitch,майданчик,pitch
encouragement,заохочення,encouragement
victim,жертва,victim
awareness,усвідомлення,awareness
campaign,кампанія,campaign
income,дохід,income
intention,намір,intention
fare,плата за проїзд,fare
degree,ступінь,degree
graduate,випускник,graduate
even,навіть,even
on daily basis,щодня,on daily basis
challenge,виклик,challenge
delay,затримка,delay
entertainment,розваги,entertainment
removal,видалення,removal
facility,зручність,facility
wallet,гаманець,wallet
crops,врожай,crops
generation,покоління,generation
harm,шкода,harm
employment,зайнятість,employment
opportunities,можливості,opportunities
rabies,сказ,rabies
possibilities,можливості,possibilities
departure,відправлення,departure
poison,отрута,poison
reunion,возз'єднання,reunion
purchase,покупка,purchase
orphanage,притулок для сиріт,orphanage
marvel,диво,marvel
garbage,сміття,garbage
litter,сміття,litter
drizzle,мряка,drizzle
church,церква,church
graph,графік,graph
neat,акуратний,neat
attitude,ставлення,attitude
attention,увага,attention
fee,плата,fee
frost,мороз,frost
lack of,відсутність,lack of
announcement,оголошення,announcement
drought,посуха,drought
failure,невдача,failure
tip,порада,tip
patch,пляма,patch
delay,затримка,delay
outcome,результат,outcome
whining,скиглення,whining
invitation,запрошення,invitation
article,стаття,article
pavement,тротуар,pavement
sweet tooth,солодкоїжка,sweet tooth
peninsula,півострів,peninsula
glacier,льодовик,glacier
settlers,поселенці,settlers
range,діапазон,range
descendants,нащадки,descendants
facilities,зручності,facilities
dust,пил,dust
minors,неповнолітні,minors
litter,сміття,litter
misery,страждання,misery
tears,сльози,tears
cello,віолончель,cello
string,струна,string
embarrassment,збентеження,embarrassment
surgery,хірургія,surgery
stretcher,носилки,stretcher
crash,аварія,crash
splash,сплеск,splash
bang,вибух,bang
howl,виття,howl
path,шлях,path
shape,форма,shape
sorts,види,sorts
belief,віра,belief
evidence,доказ,evidence
decrease,зменшення,decrease
residents,мешканці,residents
community,спільнота,community
pharmacy,аптека,pharmacy
relief,полегшення,relief
aim,ціль,aim
key,uk,eng
meet out,зустрітися зовні,meet out
come over,завітати,come over
eat out,їсти не вдома,eat out
stay up,не лягати спати,stay up
get in,увійти,get in
get out,вийти,get out
fancy,подобатися,fancy
get on,ладнати,get on
left a note,залишив записку,left a note
meet up,зустрітися,meet up
argue,сперечатися,argue
set off,вирушати,set off
to lead,вести,to lead
waste,марнувати,waste
bargain,угода,bargain
pick up,підняти,pick up
suffer,страждати,suffer
recover,відновитися,recover
store,зберігати,store
lean out,висовуватися,lean out
behave,поводитися,behave
gained,отримав,gained
come up,підійти,come up
evaluate,оцінити,evaluate
manage,впоратися,manage
run out,закінчитися,run out
set up,влаштувати,set up
regret,шкодувати,regret
attract,приваблювати,attract
demand,вимагати,demand
involve,залучати,involve
to engage,залучати,to engage
advertise,рекламувати,advertise
convince,переконувати,convince
aware,обізнаний,aware
depart,відправлятися,depart
behave,поводитися,behave
to call names,обзивати,to call names
trust,довіряти,trust
assume,припускати,assume
struggle,боротися,struggle
whisper,шепотіти,whisper
bothered,занепокоєний,bothered
take place,відбуватися,take place
get rid,позбутися,get rid
obstruct,перешкоджати,obstruct
stick,прилипати,stick
increase,збільшуватися,increase
track,відстежувати,track
seek,шукати,seek
to measure,вимірювати,to measure
overcome,долати,overcome
bear,терпіти,bear
expect,очікувати,expect
accept,приймати,accept
deserted,занедбаний,deserted
insult,образа,insult
fell out,посварилися,fell out
stood up,підвівся,stood up
go on,продовжувати,go on
apply,застосовувати,apply
obey,підкорятися,obey
burst,вибухати,burst
roar,ревіти,roar
embarrass,збентежити,embarrass
attend,відвідувати,attend
estimate,оцінювати,estimate
occur,відбуватися,occur
key,uk,eng
achieve,досягати,achieve
admit,визнавати,admit
afford,дозволити собі,afford
allow,дозволяти,allow
announce,оголошувати,announce
appear,з’являтися,appear
arrange,організовувати,arrange
arrest,арештувати,arrest
arrive,прибувати,arrive
assist,допомагати,assist
attend,відвідувати,attend
attract,приваблювати,attract
avoid,уникати,avoid
behave,поводитися,behave
believe,вірити,believe
belong,належати,belong
borrow,позичати,borrow
breathe,дихати,breathe
build,будувати,build
calculate,розраховувати,calculate
cancel,скасовувати,cancel
celebrate,святкувати,celebrate
change,змінювати,change
choose,вибирати,choose
clean,чистити,clean
climb,підніматися,climb
collect,збирати,collect
complain,скаржитися,complain
complete,завершувати,complete
confirm,підтверджувати,confirm
connect,з'єднувати,connect
consider,розглядати,consider
continue,продовжувати,continue
control,контролювати,control
cook,готувати,cook
copy,копіювати,copy
correct,виправляти,correct
count,рахувати,count
create,створювати,create
criticize,критикувати,criticize
decide,вирішувати,decide
deliver,доставляти,deliver
deny,заперечувати,deny
describe,описувати,describe
destroy,знищувати,destroy
develop,розвивати,develop
discover,відкривати,discover
discuss,обговорювати,discuss
divide,ділити,divide
draw,малювати,draw
dress,вдягатися,dress
drive,водити,drive
earn,заробляти,earn
educate,навчати,educate
encourage,заохочувати,encourage
enjoy,насолоджуватися,enjoy
examine,перевіряти,examine
exist,існувати,exist
expand,розширювати,expand
expect,очікувати,expect
explain,пояснювати,explain
explore,досліджувати,explore
express,виражати,express
fail,зазнати невдачі,fail
fall,падати,fall
feed,годувати,feed
feel,відчувати,feel
fight,боротися,fight
find,знаходити,find
finish,завершувати,finish
fix,виправляти,fix
follow,слідувати,follow
forget,забувати,forget
forgive,прощати,forgive
gain,отримувати,gain
get,отримувати,get
give,давати,give
grow,рости,grow
guess,здогадуватися,guess
happen,ставатися,happen
hate,ненавидіти,hate
hear,чути,hear
help,допомагати,help
hide,ховати,hide
hold,тримати,hold
hope,сподіватися,hope
imagine,уявляти,imagine
improve,покращувати,improve
include,включати,include
increase,збільшуватися,increase
inform,інформувати,inform
insist,наполягати,insist
introduce,впроваджувати,introduce
invite,запрошувати,invite
join,приєднуватися,join
jump,стрибати,jump
keep,тримати,keep
kill,вбивати,kill
know,знати,know
learn,вчитися,learn
leave,залишати,leave
lend,позичати,lend
like,подобатися,like
listen,слухати,listen
live,жити,live
look,дивитися,look
lose,втрачати,lose
love,любити,love
manage,управляти,manage
mark,відмічати,mark
marry,одружуватися,marry
mean,мати на увазі,mean
measure,вимірювати,measure
meet,зустрічати,meet
mention,згадувати,mention
miss,сумувати,miss
move,рухатися,move
need,потребувати,need
notice,помічати,notice
offer,пропонувати,offer
open,відкривати,open
organize,організовувати,organize
own,володіти,own
paint,малювати фарбами,paint
pay,платити,pay
perform,виконувати,perform
plan,планувати,plan
play,грати,play
prepare,готуватися,prepare
present,представляти,present
prevent,запобігати,prevent
produce,виробляти,produce
protect,захищати,protect
provide,надавати,provide
prove,доводити,prove
publish,публікувати,publish
pull,тягнути,pull
push,штовхати,push
read,читати,read
realize,усвідомлювати,realize
receive,отримувати,receive
recommend,рекомендувати,recommend
reduce,зменшувати,reduce
refuse,відмовлятися,refuse
remember,пам’ятати,remember
remove,видаляти,remove
repair,ремонтувати,repair
replace,замінювати,replace
report,доповідати,report
require,вимагати,require
reserve,резервувати,reserve
respect,поважати,respect
return,повертатися,return
reveal,розкривати,reveal
rise,підніматися,rise
run,бігти,run
save,зберігати,save
search,шукати,search
sell,продавати,sell
send,надсилати,send
serve,обслуговувати,serve
share,ділитися,share
show,показувати,show
sing,співати,sing
sit,сидіти,sit
sleep,спати,sleep
smile,усміхатися,smile
solve,вирішувати,solve
speak,говорити,speak
spend,витрачати,spend
stand,стояти,stand
start,починати,start
stay,залишатися,stay
stop,зупиняти,stop
study,вивчати,study
succeed,досягати успіху,succeed
suffer,страждати,suffer
suggest,пропонувати,suggest
support,підтримувати,support
suppose,припускати,suppose
surprise,дивувати,surprise
take,брати,take
talk,розмовляти,talk
teach,навчати,teach
tell,розповідати,tell
test,перевіряти,test
think,думати,think
throw,кидати,throw
touch,торкатися,touch
travel,подорожувати,travel
try,намагатися,try
turn,повертати,turn
understand,розуміти,understand
use,використовувати,use
visit,відвідувати,visit
wait,чекати,wait
walk,ходити,walk
want,хотіти,want
watch,дивитися,watch
win,вигравати,win
wish,бажати,wish
work,працювати,work
worry,хвилюватися,worry
write,писати,write
key,uk,eng
abandon,залишати,abandon
absorb,вбирати,absorb
accelerate,прискорювати,accelerate
accomplish,досягати,accomplish
accuse,звинувачувати,accuse
achieve,досягати,achieve
acknowledge,визнавати,acknowledge
adapt,пристосовуватися,adapt
adjust,налаштовувати,adjust
admire,захоплюватися,admire
adopt,приймати,adopt
advocate,захищати,advocate
affect,впливати,affect
allocate,розподіляти,allocate
alter,змінювати,alter
amuse,розважати,amuse
analyze,аналізувати,analyze
anticipate,очікувати,anticipate
apologize,вибачатися,apologize
appreciate,цінувати,appreciate
approach,наближатися,approach
approve,схвалювати,approve
argue,сперечатися,argue
arise,виникати,arise
assemble,збирати,assemble
assess,оцінювати,assess
assign,призначати,assign
assist,допомагати,assist
assume,припускати,assume
assure,запевняти,assure
attach,прикріплювати,attach
attempt,намагатися,attempt
attract,приваблювати,attract
avoid,уникати,avoid
balance,збалансовувати,balance
ban,забороняти,ban
bark,гавкати,bark
beg,благати,beg
behave,поводитися,behave
believe,вірити,believe
benefit,приносити користь,benefit
blame,звинувачувати,blame
blend,змішувати,blend
blink,моргати,blink
boast,хвалитися,boast
boost,підвищувати,boost
borrow,позичати,borrow
bounce,підстрибувати,bounce
brag,хвалитися,brag
breathe,дихати,breathe
bury,ховати,bury
calculate,розраховувати,calculate
capture,захоплювати,capture
carry,нести,carry
carve,вирізати,carve
celebrate,святкувати,celebrate
challenge,кинути виклик,challenge
change,змінювати,change
charge,звинувачувати,charge
chase,переслідувати,chase
cheat,обманювати,cheat
check,перевіряти,check
choose,вибирати,choose
clarify,пояснювати,clarify
classify,класифікувати,classify
clean,чистити,clean
climb,підніматися,climb
close,закривати,close
collapse,обвалюватися,collapse
collect,збирати,collect
combine,поєднувати,combine
command,наказувати,command
communicate,спілкуватися,communicate
compare,порівнювати,compare
compete,змагатися,compete
complain,скаржитися,complain
complete,завершувати,complete
concentrate,зосереджуватися,concentrate
conclude,робити висновок,conclude
conduct,проводити,conduct
confess,зізнаватися,confess
confirm,підтверджувати,confirm
connect,з'єднувати,connect
conquer,завойовувати,conquer
consider,розглядати,consider
construct,будувати,construct
consult,консультуватися,consult
contain,містити,contain
continue,продовжувати,continue
contribute,сприяти,contribute
control,контролювати,control
convert,перетворювати,convert
convey,передавати,convey
convince,переконувати,convince
cook,готувати,cook
copy,копіювати,copy
correct,виправляти,correct
count,рахувати,count
crash,розбиватися,crash
create,створювати,create
criticize,критикувати,criticize
cross,перетинати,cross
crush,розчавлювати,crush
cure,лікувати,cure
curl,завивати,curl
curve,згинати,curve
customize,налаштовувати,customize
damage,завдавати шкоди,damage
dance,танцювати,dance
dare,наважуватися,dare
deal,мати справу,deal
debate,дебатувати,debate
decay,руйнуватися,decay
deceive,обманювати,deceive
declare,заявляти,declare
decline,відхиляти,decline
decorate,прикрашати,decorate
delay,затримувати,delay
deliver,доставляти,deliver
demand,вимагати,demand
demonstrate,демонструвати,demonstrate
deny,заперечувати,deny
depend,залежати,depend
describe,описувати,describe
deserve,заслуговувати,deserve
design,проектувати,design
destroy,знищувати,destroy
detect,виявляти,detect
determine,визначати,determine
develop,розвивати,develop
devote,присвячувати,devote
differ,відрізнятися,differ
digest,перетравлювати,digest
direct,керувати,direct
disagree,не погоджуватися,disagree
disappear,зникати,disappear
disapprove,не схвалювати,disapprove
discover,відкривати,discover
discuss,обговорювати,discuss
dismiss,звільняти,dismiss
distribute,розподіляти,distribute
dive,пірнати,dive
divide,ділити,divide
doubt,сумніватися,doubt
drag,тягнути,drag
draw,малювати,draw
dream,мріяти,dream
dress,вдягатися,dress
drink,пити,drink
drive,водити,drive
drop,кидати,drop
drown,тонути,drown
dry,сушити,dry
earn,заробляти,earn
edit,редагувати,edit
educate,навчати,educate
eliminate,усувати,eliminate
embarrass,збентежити,embarrass
emphasize,підкреслювати,emphasize
employ,наймати,employ
enable,дозволяти,enable
encourage,заохочувати,encourage
endorse,підтримувати,endorse
endure,терпіти,endure
engage,залучати,engage
enhance,покращувати,enhance
enjoy,насолоджуватися,enjoy
enrich,збагачувати,enrich
ensure,забезпечувати,ensure
enter,входити,enter
entertain,розважати,entertain
key,uk,eng
abandon,залишати,abandon
abbreviate,скорочувати,abbreviate
abduct,викрадати,abduct
absent,відсутній,absent
absorb,вбирати,absorb
abstract,абстрактний,abstract
abundant,рясний,abundant
abuse,зловживати,abuse
accelerate,прискорювати,accelerate
accept,приймати,accept
access,доступ,access
acclaim,схвалювати,acclaim
accommodate,розміщувати,accommodate
accompany,супроводжувати,accompany
accomplish,досягати,accomplish
accord,узгоджувати,accord
account,рахунок,account
accuse,звинувачувати,accuse
achieve,досягати,achieve
acquire,здобувати,acquire
address,адреса,address
adjust,налаштовувати,adjust
admire,захоплюватися,admire
admit,визнавати,admit
adopt,приймати,adopt
advance,просувати,advance
adventure,пригоди,adventure
advertise,рекламувати,advertise
advice,порада,advice
advise,радити,advise
affect,впливати,affect
afford,дозволяти собі,afford
against,проти,against
agency,агенція,agency
aggregate,сума,aggregate
aggressive,агресивний,aggressive
agriculture,сільське господарство,agriculture
alert,пильний,alert
alien,чужий,alien
allege,заявляти,allege
alleviate,полегшувати,alleviate
allocate,розподіляти,allocate
allow,дозволяти,allow
alter,змінювати,alter
alternative,альтернатива,alternative
amazing,дивовижний,amazing
analyze,аналізувати,analyze
ancient,древній,ancient
anger,гнів,anger
animal,тварина,animal
annual,щорічний,annual
anxiety,тривога,anxiety
apologize,вибачатися,apologize
appeal,звертатися,appeal
appear,з’являтися,appear
apply,застосовувати,apply
appoint,призначати,appoint
appreciate,цінувати,appreciate
approve,схвалювати,approve
argue,сперечатися,argue
arrange,організовувати,arrange
arrive,прибувати,arrive
artificial,штучний,artificial
assault,напад,assault
assert,стверджувати,assert
assess,оцінювати,assess
assign,призначати,assign
assist,допомагати,assist
assume,припускати,assume
assure,запевняти,assure
attract,приваблювати,attract
auction,аукціон,auction
author,автор,author
authority,влада,authority
available,доступний,available
average,середній,average
avoid,уникати,avoid
awareness,усвідомлення,awareness
balance,збалансувати,balance
barrier,бар'єр,barrier
benefit,перевага,benefit
bias,упередженість,bias
bother,турбувати,bother
brief,короткий,brief
brilliant,відмінний,brilliant
broadcast,транслювати,broadcast
broke,зламаний,broke
brutal,жорстокий,brutal
burden,тягар,burden
calculate,розраховувати,calculate
capture,захоплювати,capture
category,категорія,category
celebrate,святкувати,celebrate
central,центральний,central
cereal,крупа,cereal
chaos,хаос,chaos
charge,платити,charge
charity,благодійність,charity
cheap,дешевий,cheap
chemical,хімічний,chemical
choice,вибір,choice
choose,вибирати,choose
climate,клімат,climate
clothing,одяг,clothing
combine,поєднувати,combine
comment,коментар,comment
commit,вчиняти,commit
common,спільний,common
compare,порівнювати,compare
compete,змагатися,compete
complete,завершити,complete
conclude,робити висновок,conclude
connect,підключати,connect
consider,розглядати,consider
contact,контакт,contact
contain,містити,contain
contest,конкурс,contest
contract,контракт,contract
contrast,контраст,contrast
convert,перетворювати,convert
convince,переконувати,convince
coordinate,координувати,coordinate
corrupt,корумпувати,corrupt
create,створювати,create
critique,критика,critique
damage,пошкоджувати,damage
decide,вирішувати,decide
declare,оголошувати,declare
defend,захищати,defend
deficit,дефіцит,deficit
define,визначати,define
defy,не підкорятися,defy
delay,затримка,delay
deliver,доставляти,deliver
demand,попит,demand
demonstrate,демонструвати,demonstrate
deny,заперечувати,deny
depend,залежати,depend
describe,описувати,describe
deserve,заслуговувати,deserve
design,проектувати,design
desire,бажання,desire
destroy,знищувати,destroy
develop,розвивати,develop
direct,керувати,direct
disappear,зникати,disappear
discover,відкривати,discover
discuss,обговорювати,discuss
dismiss,звільняти,discuss
divide,ділити,divide
doubt,сумнів,doubt
drastic,різкий,drastic
duty,обов'язок,duty
dynamic,динамічний,dynamic
economy,економіка,economy
effort,зусилля,effort
elect,обирати,elect
element,елемент,element
eliminate,усувати,eliminate
emerge,з'являтися,emerge
emphasize,підкреслювати,emphasize
encourage,заохочувати,encourage
endorse,підтримувати,endorse
engage,залучати,engage
enhance,покращувати,enhance
enjoy,насолоджуватися,enjoy
ensure,забезпечувати,ensure
envelope,конверт,envelope
equality,рівність,equality
error,помилка,error
evaluate,оцінювати,evaluate
examine,перевіряти,examine
exception,виняток,exception
excite,захоплювати,excite
exercise,вправи,exercise
expand,розширювати,expand
expect,очікувати,expect
explain,пояснювати,explain
explore,досліджувати,explore
express,виражати,express
extend,продовжувати,extend
facilitate,полегшувати,facilitate
famous,відомий,famous
fashion,мода,fashion
feature,особливість,feature
fiction,художня література,fiction
finance,фінанси,finance
flee,тікти,flee
flexible,гнучкий,flexible
forbid,забороняти,forbid
force,сила,force
forecast,прогнозувати,forecast
forget,забувати,forget
forgive,прощати,forgive
fortunate,щасливий,fortunate
foster,сприяти,foster
freedom,свобода,freedom
frequent,частий,frequent
fulfill,виконувати,fulfill
future,майбутнє,future
gather,збирати,gather
genuine,справжній,genuine
global,глобальний,global
govern,керувати,govern
growth,ріст,growth
habitat,середовище,habitat
harmony,гармонія,harmony
hatch,вилуплюватися,hatch
healthy,здоровий,healthy
heritage,спадщина,heritage
honest,чесний,honest
horrible,жахливий,horrible
hostile,ворожий,hostile
humanity,людство,humanity
hypothesis,гіпотеза,hypothesis
ideal,ідеальний,ideal
identity,ідентичність,identity
imagine,уявляти,imagine
impact,вплив,impact
improve,покращувати,improve
include,включати,include
increase,збільшувати,increase
indicate,вказувати,indicate
initial,початковий,initial
say, сказати, say
how, як, how
as, як, as
cool, холодно круто, cool
